locus_tag	MW0	MY0	MZ0	MW1	MY1	MZ1	MW2	MY2	MZ2	MW3	MX3	MY3	MZ3	MW4	MX4	MY4	MZ4	MW5	MX5	MY5	MW6	MX6	MY6	MZ6
 AURMO_00833:pyruvate kinase	7960	7744	8607	10245	5499	6541	5566	8296	17829	12068	8448	9658	3115	8139	11560	8514	5833	10879	9706	12825	4225	8206	7340	5905
 AURMO_00835:response regulator receiver and ANTAR domain protein 	2727	2368	2858	3402	1679	1814	1569	2352	4794	3973	2645	3054	922	3183	3347	2700	4099	4824	2950	4584	1719	2203	3168	3901
 AURMO_00836:uncharacterized protein (TIGR00369 family)	1708	1676	1748	2335	1204	1118	1048	1516	3329	2856	1901	2318	571	2108	2753	1773	2185	2712	2290	2816	1025	1813	1692	2190
 AURMO_00837:DNA polymerase I 	1733	1573	1630	2164	964	1267	1128	1526	3055	2372	1721	1983	584	1972	2486	1614	1965	2600	1832	2551	1080	1871	1790	2024
 AURMO_00838:SSU ribosomal protein S1P 	24492	20699	25090	31930	16316	19632	15408	25861	44457	32916	15200	26413	9171	18163	23730	18920	13872	27407	22241	30967	10697	17981	17067	16781
 AURMO_00839:dephospho-CoA kinase	1128	932	1027	1358	739	792	648	907	1853	1778	1265	1423	418	1397	1403	1290	1454	1863	1267	1734	843	1039	1398	1769
 AURMO_00840:excinuclease ABC subunit B 	3204	2879	2812	3988	1809	2211	2000	2927	5594	4131	3048	3536	976	3423	4182	2852	3545	4142	3744	3942	1764	2794	2843	3797
 AURMO_00841:excinuclease ABC subunit A 	2974	2711	2668	4055	2308	2391	2162	3550	5822	5046	4752	4262	1259	4011	4797	3614	4350	5114	4042	5118	1931	3173	3302	4538
 AURMO_00842:excinuclease ABC subunit C 	287	336	285	429	275	266	227	457	609	517	587	546	98	400	789	403	458	566	424	571	215	612	419	468
 AURMO_00843:glycerophosphoryl diester phosphodiesterase	427	397	397	550	239	256	302	409	769	632	342	507	149	516	670	481	483	601	517	606	294	428	436	528
 AURMO_00844:NAD(P)-dependent dehydrogenase (short-subunit alcohol dehydrogenase family)	2798	2739	2699	3523	2047	2076	1616	2754	5607	4331	2576	3948	1127	3369	3408	3140	3504	4376	3133	4494	1619	2556	2934	3385
 AURMO_00845:8-oxo-dGTP pyrophosphatase MutT (NUDIX family)	458	433	493	529	300	400	246	496	950	599	268	503	175	478	473	436	421	604	429	717	254	366	439	415
 AURMO_00846:uncharacterized membrane protein HdeD (DUF308 family)	3604	3954	3569	4896	2780	3393	2579	4635	8600	6627	4943	5644	1921	5668	5146	5631	6739	5971	4597	6833	2424	3226	4447	5014
 AURMO_00847:glycine/D-amino acid oxidase-like deaminating enzyme	2064	1683	1575	2194	988	1144	1006	1380	2493	2316	1658	1695	581	2048	2379	1786	2377	2812	2352	2586	1222	1732	2053	2645
 AURMO_00848:hypothetical protein	160	137	151	154	69	98	86	91	193	173	75	152	48	153	213	115	178	167	127	212	59	161	109	213
 AURMO_00849:EamA-like transporter family protein	550	516	444	631	326	403	322	466	897	786	523	532	199	717	782	507	577	888	580	790	352	535	572	611
 AURMO_00850:fucose permease	677	544	573	732	356	444	408	473	1046	777	560	652	187	707	816	527	549	895	691	843	299	606	519	489
 AURMO_00851:cyanate permease	332	325	298	438	254	234	222	318	682	580	347	459	153	545	680	420	931	658	419	634	307	449	438	997
 AURMO_00852:glycerol kinase 	941	839	837	1131	558	724	623	938	1744	1458	1046	1335	382	1353	1353	1165	1599	1585	983	1689	715	907	1208	1538
 AURMO_00853:anthranilate phosphoribosyltransferase	4121	3531	3502	4829	2333	2790	2546	3406	6746	5883	4156	4397	1377	4541	5215	4003	4623	5533	4652	5666	2339	3489	3829	4913
 AURMO_00854:cytochrome c oxidase subunit 3	14783	10821	12697	16764	7845	9919	9129	12319	21131	19790	14604	16341	4316	17730	16112	12802	17372	21287	14487	18779	8600	12218	12996	18513
 AURMO_00855:menaquinol-cytochrome c reductase cytochrome c1 subunit precursor 	30548	26746	27412	38901	19006	19224	18104	26500	48721	46185	29204	32828	10008	34861	38218	28142	35340	46550	34390	46087	18687	27199	27487	40486
 AURMO_00856:menaquinol-cytochrome c reductase iron-sulfur subunit precursor 	25024	20999	20625	29168	14951	15761	15045	19876	37298	36314	27775	27338	8913	27588	29284	24619	28488	35244	26413	36668	14227	20933	23720	31426
 AURMO_00857:menaquinol-cytochrome c reductase cytochrome b subunit precursor 	17825	14437	14685	20845	10444	12181	12156	16467	27525	27529	22454	21031	6848	21820	20696	19391	24034	28195	18782	28170	12080	15906	19613	28157
 AURMO_00858:hypothetical protein	372	378	371	426	230	296	263	336	657	553	321	404	141	524	375	379	497	529	362	558	230	308	407	489
 AURMO_00859:cytochrome c oxidase subunit IV	11528	10621	9939	14247	6505	8581	7550	10656	17686	16599	11544	12176	4047	14397	12171	12281	14102	16372	12331	17398	7174	9347	12382	15211
 AURMO_00860:cytochrome c oxidase subunit 1	34652	29060	29819	39359	20109	24382	22565	33818	53204	49736	37794	37467	13455	42850	38350	36853	44581	50218	36040	51367	22914	29824	36386	52864
 AURMO_00861:cytochrome c oxidase subunit 2	38845	33706	36951	46808	23486	28375	25170	30493	59542	49916	37003	41344	13818	41569	43134	32976	38928	50653	42262	49378	22970	32381	33632	42407
 AURMO_00862:iron-sulfur cluster assembly accessory protein	22530	19845	22063	26100	12845	15313	12097	18263	36073	28214	15059	22080	7087	22844	17231	19199	26342	30446	17521	29112	15431	16631	24033	22333
 AURMO_00863:acetylornithine deacetylase/succinyl-diaminopimelate desuccinylase-like protein	812	757	757	1038	611	666	526	969	1572	1361	992	1266	385	1176	1208	1084	1339	1211	900	1375	532	782	1036	1190
 AURMO_00864:hypothetical protein	1009	1025	1366	1657	951	811	602	1061	2741	2011	1019	1696	413	1186	1703	1133	1559	2006	1243	2046	609	1144	1139	1331
 AURMO_00865:dihydroorotate oxidase A 	1202	970	1046	1352	715	866	838	1091	2171	1790	1680	1585	491	1461	1749	1471	1741	1998	1424	2133	827	1135	1450	1750
 AURMO_00866:transcriptional repressor NrdR	3943	3634	3747	5399	2772	2836	2810	4110	7781	6303	5109	4777	1535	4755	5825	4389	5803	6815	5155	6783	2556	3590	4217	5768
 AURMO_00867:histidinol dehydrogenase	1024	898	940	1330	641	860	736	953	1952	1614	1193	1415	379	1176	1474	1088	1286	1592	1069	1484	632	1061	1085	1400
 AURMO_00868:DNA polymerase-3 subunit alpha	3995	3691	3889	5501	2595	3028	2851	3733	7676	5227	4176	5110	1413	4671	5371	3798	4673	5294	4664	5082	2191	3798	3387	4668
 AURMO_00869:apolipoprotein N-acyltransferase 	1412	1240	1215	1667	894	1085	984	1377	2501	1992	1826	1851	575	1801	1933	1632	1912	2056	1658	2051	864	1230	1511	1797
 AURMO_00870:ATP-dependent RNA helicase HelY	2479	2125	2333	3060	1684	1867	1517	2285	4753	3634	2959	3216	895	3184	3524	2701	3757	3949	2837	3888	1502	2506	2633	3386
 AURMO_00871:sec-independent protein translocase protein TatC	673	610	634	869	414	495	524	584	1314	970	714	799	224	786	933	645	792	1163	867	1139	452	708	748	835
 AURMO_00872:sec-independent protein translocase protein TatA	548	590	606	672	352	423	302	509	1046	802	563	679	233	662	525	515	460	835	577	849	348	542	591	466
 AURMO_00873:proteasome accessory factor C	207	181	164	256	103	134	162	195	375	247	268	237	48	203	393	178	162	264	225	244	98	218	137	167
 AURMO_00874:proteasome accessory factor B	792	697	650	907	533	545	492	637	1445	964	1005	776	228	648	1018	617	668	754	849	893	304	578	514	497
 AURMO_00875:peptidylprolyl isomerase	5410	5411	5618	7638	4067	4419	3460	5507	10646	7618	6228	6583	1970	5393	7281	5337	5619	6480	6519	6752	2697	4595	4147	4659
 AURMO_00876:tRNA (adenine57-N1/adenine58-N1)-methyltransferase	3176	2785	2874	4018	1889	2179	1960	2544	5312	4133	3010	3348	1059	3110	3972	2704	2636	3586	3807	3866	1604	2924	2334	2805
 AURMO_00877:HAD superfamily hydrolase (TIGR01509 family)	1438	1383	1691	2253	1135	1020	999	1146	3128	2226	1453	2024	497	1525	2385	1321	1376	2142	1799	2334	744	1632	1230	1502
 AURMO_00878:PAC2 family protein	1103	983	1040	1369	638	859	702	911	2035	1498	1106	1381	395	1214	1347	1044	1040	1627	1172	1527	702	943	1224	1180
 AURMO_00879:undecaprenyl-diphosphatase	911	926	892	1245	602	787	667	995	1914	1522	1278	1327	403	1289	1371	1190	1298	1290	1093	1331	563	869	933	1103
 AURMO_00881:hypothetical protein	25247	26277	22460	32844	15929	17625	15102	21614	46443	37855	19592	29584	8955	30082	30303	27889	34043	33460	30917	35772	12878	19473	22493	26739
 AURMO_00882:superfamily II DNA or RNA helicase	326	314	319	439	190	278	245	286	631	452	364	411	98	374	664	287	263	423	353	369	150	540	246	296
 AURMO_00883:tRNA G18 (ribose-2'-O)-methylase SpoU	764	732	771	1003	493	562	430	649	1411	1035	688	801	240	805	1155	773	696	1034	926	1091	453	693	729	643
 AURMO_00884:NAD-dependent SIR2 family protein deacetylase	771	658	708	900	426	451	483	643	1208	1139	657	853	212	785	1023	670	668	1277	809	1066	490	763	655	854
 AURMO_00885:glycosyltransferase involved in cell wall biosynthesis	438	438	458	590	275	392	298	435	920	625	512	573	164	522	833	476	436	624	572	620	258	505	420	418
 AURMO_00886:pimeloyl-ACP methyl ester carboxylesterase	224	219	210	307	124	183	123	198	373	306	234	283	73	222	421	181	172	282	193	249	137	298	191	197
 AURMO_00887:DNA polymerase-3 subunit epsilon	2302	2238	2111	3136	1534	1776	1516	2059	4530	3527	3237	2790	832	2859	3443	2568	3005	2919	3001	3130	1185	1889	1968	2569
 AURMO_00888:LSU ribosomal protein L31P 	1802	1759	1673	2242	1013	1347	1131	1265	2706	2081	1401	2353	476	1379	2101	1240	866	1729	1814	1888	612	1591	1157	827
 AURMO_00889:iron complex transport system ATP-binding protein	2416	2125	2466	3240	1613	1977	1651	2407	4773	3570	2476	3096	828	2854	2989	2511	3118	3404	2578	3615	1327	2026	2300	2570
 AURMO_00890:glycogen synthase (ADP-glucose) 	4772	4382	4522	6612	3247	3103	2857	4367	8964	7517	4798	5726	1777	5547	6221	5059	7190	7300	5501	7747	2720	4463	4977	7110
 AURMO_00891:glucose-1-phosphate adenylyltransferase	7511	6974	6721	9242	4946	5192	4710	7522	12903	11163	7473	9398	2893	9847	9197	8955	13466	13051	8490	13649	4989	6349	10198	12473
 AURMO_00892:phosphoserine phosphatase	2307	2059	2230	2808	1425	1665	1280	2062	4041	3100	1665	2443	853	2636	2614	2457	3143	3344	2420	3498	1250	1710	2586	2931
 AURMO_00893:3-oxoacyl-[acyl-carrier-protein] reductase 	3436	3186	3367	4286	2240	2521	2142	3276	6498	4908	3708	4118	1322	4120	4573	3986	4419	5182	4052	5769	2170	3193	3728	4234
 AURMO_00894:hypothetical protein	2570	1931	2654	2939	1441	1782	1478	2021	4099	3370	2176	2876	701	3773	2813	2904	5503	5214	2465	5078	2290	2109	4679	4234
 AURMO_00895:cytochrome oxidase assembly protein ShyY1	1697	1302	1394	1804	771	945	1062	1123	2066	2172	1322	1634	481	2043	1763	1565	1893	2421	1557	2507	1111	1386	1651	2231
 AURMO_00896:2-isopropylmalate synthase	18144	16014	17478	22638	11049	12880	10492	15722	30053	22603	15168	17438	5881	16981	21326	14465	16774	22553	21001	22777	9655	15435	14765	17949
 AURMO_00897:GTP-binding protein Era	1221	1129	1185	1659	797	995	847	1322	2414	1911	1588	1598	476	1774	1839	1616	2077	2176	1479	2229	864	1125	1632	1965
 AURMO_00898:CBS domain containing-hemolysin-like protein	1137	980	1093	1446	701	805	756	962	2031	1726	1340	1514	467	1334	1627	1403	1465	1728	1227	1901	699	1232	1312	1407
 AURMO_00899:probable rRNA maturation factor	2382	2204	2440	3072	1690	1882	1536	2532	4881	3981	3128	3195	1024	3290	3573	2921	3489	3973	3192	4326	1630	2259	2879	3309
 AURMO_00900:phosphate starvation-inducible protein PhoH	613	540	622	801	435	433	420	594	1269	978	736	871	231	805	944	680	868	1150	690	1071	400	690	794	937
 AURMO_00901:histidine triad (HIT) family protein	561	476	488	738	356	457	356	505	990	829	644	713	232	641	687	551	599	771	658	796	335	552	516	671
 AURMO_00902:16S rRNA (uracil1498-N3)-methyltransferase	178	174	206	294	143	127	113	130	382	287	120	243	61	146	264	150	123	300	156	303	79	256	178	155
 AURMO_00903:molecular chaperone DnaJ	6828	6091	6182	8583	4191	4475	4202	6311	11824	10194	5259	7697	2319	6055	7493	5445	5576	9320	6614	10008	3412	5953	5613	7431
 AURMO_00904:heat-inducible transcription repressor HrcA 	3210	2781	2796	3349	1746	1993	1745	2749	4396	4247	2300	3276	1096	2905	3067	2332	2421	4330	2773	4118	1795	2771	2782	3767
 AURMO_00905:oxygen-independent coproporphyrinogen-3 oxidase	728	623	605	869	432	518	427	705	1400	958	759	816	219	714	1097	684	740	889	829	936	291	698	553	619
 AURMO_00906:uncharacterized protein (UPF0548 family)	875	751	873	1103	555	727	573	866	1877	1157	763	1054	281	815	1108	763	788	1012	951	1198	366	659	702	642
 AURMO_00907:GTP-binding protein LepA	4612	4767	5499	7134	3537	4305	2919	5030	11906	7523	4198	6619	1927	5205	6883	5141	5326	6619	5543	7929	2503	4316	4575	3994
 AURMO_00908:SSU ribosomal protein S20P 	2349	3153	2340	3496	1615	1701	1520	2035	4311	3418	2279	3291	766	1944	3242	2212	1363	2968	3092	3678	939	2153	2297	1344
 AURMO_00909:DNA polymerase III delta subunit 	2163	1939	2144	2854	1398	1490	1292	1777	3868	3011	2087	2340	648	2423	3112	1987	2503	3211	2727	3162	1233	2132	2139	2542
 AURMO_00910:competence protein ComEC	80	70	69	101	37	46	47	64	99	101	39	62	20	81	402	59	74	102	55	110	43	294	74	65
 AURMO_00911:competence protein ComEA	32	33	37	40	21	22	19	28	51	69	18	39	10	27	152	32	32	44	33	52	21	76	46	32
 AURMO_00912:aromatic acid exporter family member 1	400	385	426	514	303	332	342	463	879	718	740	685	155	710	811	625	786	712	509	824	285	460	542	657
 AURMO_00913:beta-N-acetylhexosaminidase	1352	1128	1284	1397	632	913	797	862	1849	1453	783	1076	389	1182	1417	922	1004	1433	1271	1357	661	1105	1019	1186
 AURMO_00914:DNA-binding FrmR family transcriptional regulator	2548	2322	2427	3033	1448	1521	1314	1862	3791	3674	1437	2506	862	2593	2636	2018	2671	3535	2704	3573	1534	2268	2257	3310
" AURMO_00915:NADPH-dependent 2,4-dienoyl-CoA reductase/sulfur reductase-like enzyme"	8034	7077	9822	10039	4677	5253	4340	5231	12993	10245	2972	7444	2483	6744	7272	5355	6486	9818	6858	9792	4093	6691	5797	7163
 AURMO_00916:probable LLM family oxidoreductase	9283	9544	9716	11431	5567	6160	5281	7125	13986	10061	1735	7609	2568	6248	5150	5058	4700	10314	5805	10917	5210	8065	7513	6133
 AURMO_00917:carbohydrate ABC transporter ATP-binding protein (CUT1 family) 	10514	8616	11308	12289	6592	6625	6591	10024	17845	15245	7846	13391	4447	14586	12870	11663	23729	16818	11794	17168	7343	10219	12434	25900
 AURMO_00918:lipopolysaccharide kinase (Kdo/WaaP) family protein	1766	1525	1861	1972	1114	1241	1109	1486	2811	2585	1410	2221	793	2293	2317	1754	2215	2544	2069	2908	1246	2032	1997	2254
 AURMO_00919:NADPH:quinone reductase-like Zn-dependent oxidoreductase	1879	1628	1786	2331	1314	1285	1167	1822	3247	2705	1633	2273	695	2930	2453	2578	5086	3598	2177	3964	1459	1710	3148	4873
 AURMO_00920:alkylphosphonate utilization operon protein PhnA	4886	4415	4232	6314	3280	3481	3161	5323	9055	7550	4999	5715	1794	5624	6127	4928	5452	6681	5902	6968	2660	3805	4227	5079
 AURMO_00921:ribose 5-phosphate isomerase B	3024	2924	2887	3885	1831	2252	1678	2254	4766	4475	3590	3381	1044	3550	4116	3478	4225	4691	3949	4976	1960	3086	3835	4188
 AURMO_00923:ribosome-associated protein	934	973	926	1288	608	833	692	736	2137	1325	1098	1167	315	1143	1317	1119	1128	1678	1114	1748	640	786	1188	895
 AURMO_00924:hypothetical protein	1871	1824	1905	2531	1127	1347	1191	1561	3446	2780	2051	2611	644	2106	2605	1760	2099	2643	2059	2613	1096	1876	1865	2175
 AURMO_00925:nicotinate-nucleotide adenylyltransferase 	1023	988	1125	1343	572	769	631	803	1969	1402	683	1270	335	1154	1140	891	1043	1530	997	1395	495	827	884	1103
 AURMO_00926:hypothetical protein	3059	2551	2965	3854	1764	2074	1827	2599	5136	4592	2928	3473	972	3689	3415	2524	3606	4613	3117	3822	1889	2530	2612	4259
 AURMO_00927:glutamate-5-semialdehyde dehydrogenase 	2994	2702	2797	3629	1784	2224	1903	2736	5448	4030	2725	3261	974	3303	3565	2869	3121	3982	3279	4135	1607	2580	2733	2949
 AURMO_00928:glutamate 5-kinase	1276	1402	1363	1762	823	888	786	1017	2279	1609	575	1367	396	918	1191	806	715	1443	1048	1674	606	1028	929	685
 AURMO_00929:GTP-binding protein	9059	8304	9550	11776	5368	5829	4829	6528	13713	11068	3804	7986	2637	6638	7985	5358	4293	9657	7757	10252	3849	7172	5657	5484
 AURMO_00930:LSU ribosomal protein L27P 	4666	5199	4938	6276	2912	3340	2605	4108	8581	6673	2943	5164	1612	3886	4965	4045	3292	5738	4936	7350	2206	4304	4333	3570
 AURMO_00931:LSU ribosomal protein L21P 	4980	4671	5656	6546	3111	3485	3077	3890	9425	6788	2736	5642	1399	3637	5041	3607	2629	5844	4982	6480	1896	4029	3478	2738
 AURMO_00932:ribonuclease E	12604	10966	12851	16061	6995	7818	6059	9306	19997	14081	5479	10691	3014	8093	11562	7008	5241	11632	10470	13080	4357	9308	7049	6323
 AURMO_00933:uncharacterized membrane protein	9831	8162	8191	12758	6107	6564	5946	8263	16455	13576	10710	10043	3135	10325	11792	8935	10713	12029	10877	12013	5180	7858	7847	9712
 AURMO_00934:DHA2 family lincomycin resistance protein-like MFS transporter	1541	1374	1410	1942	911	1128	906	1343	2697	1997	1472	1682	528	1419	2005	1340	1524	1840	1614	1851	805	1308	1181	1465
 AURMO_00935:nucleoside diphosphate kinase 	976	975	1075	1373	801	776	652	1201	2117	1830	1003	1459	457	1098	1298	1246	1477	1567	1082	1888	604	1042	1184	1492
 AURMO_00936:uncharacterized protein DUF4233	844	868	877	1181	631	674	608	991	1856	1581	953	1221	377	1158	1269	1029	1419	1483	1047	1568	577	872	943	1405
 AURMO_00937:dihydrofolate synthase/folylpolyglutamate synthase	690	682	711	895	566	557	493	882	1625	1397	685	1167	291	824	1112	827	1047	1312	598	1575	448	959	794	1184
 AURMO_00938:isoleucyl-tRNA synthetase 	7224	6542	7226	9169	4951	5729	4987	8506	14538	11651	5411	10386	3031	8350	8144	8453	8454	11377	6784	12578	4261	6519	7741	8960
 AURMO_00939:valyl-tRNA synthetase	5727	5518	6255	7244	4449	4885	4280	6528	11491	9923	5335	8580	3049	7860	7567	7126	8172	9250	6661	9983	4286	6216	6532	8862
 AURMO_00940:hypothetical protein	64	76	78	87	48	64	48	104	159	152	86	128	37	141	75	112	154	175	66	160	81	74	124	148
 AURMO_00941:TM2 domain-containing protein	487	516	733	798	444	522	465	652	1358	972	621	938	255	729	831	780	943	1046	630	1213	449	626	811	1089
 AURMO_00942:transposase-like protein	191	172	212	259	140	159	161	169	422	332	236	272	89	281	244	302	379	391	223	409	168	159	339	375
 AURMO_00943:transposase InsO family protein	246	203	207	261	141	176	135	214	409	353	259	269	90	276	345	311	360	381	229	388	167	265	286	413
 AURMO_00944:thioredoxin 	2507	2067	2307	2809	1168	1505	1320	1765	3649	3134	1448	1925	729	2171	2410	1978	2364	2815	2347	2963	1291	1933	1894	2658
 AURMO_00945:protein-S-isoprenylcysteine O-methyltransferase Ste14	302	268	253	398	178	268	214	269	588	461	446	408	115	469	461	374	470	469	361	440	177	271	304	384
 AURMO_00946:uncharacterized protein DUF4395	619	533	548	620	344	391	326	420	793	737	376	581	229	708	699	517	699	757	645	841	386	497	627	727
 AURMO_00947:hypothetical protein	165	174	212	218	127	134	125	130	281	229	140	197	66	179	324	204	226	253	196	254	152	272	184	299
 AURMO_00948:putrescine:proton symporter (AAT family) 	5779	6534	4233	7714	5519	3345	3557	7360	8651	9974	9268	9757	3313	12867	6009	11300	19940	12520	4586	15362	6137	4174	13271	22261
 AURMO_00949:3-deoxy-D-arabinoheptulosonate-7-phosphate synthase 	10891	10673	12164	15328	7738	8744	7184	11434	23816	16662	9768	13958	4559	12175	14538	11836	13093	15782	12783	19644	6118	10614	11818	11796
 AURMO_00950:1-acyl-sn-glycerol-3-phosphate acyltransferase	2041	1673	2116	2532	1154	1394	1341	1459	3476	2588	1519	2119	605	2105	2420	1843	1865	2680	2153	2700	1047	1796	1899	2001
 AURMO_00951:glucokinase	2339	1955	2375	2930	1364	1524	1393	1935	4016	3080	1660	2338	729	2205	2666	2051	2178	2951	2540	3175	1295	2140	2048	2194
 AURMO_00952:long-chain acyl-CoA synthetase	7226	6192	5636	8824	4633	4525	4315	6404	10978	10042	5703	8085	2567	10227	7728	8581	16635	12837	7329	12569	5292	5602	9592	17707
 AURMO_00953:peptide deformylase	1845	1671	1868	2354	1074	1410	1075	1762	3463	2633	1308	2116	651	2057	2009	1744	1821	2446	1855	2664	1007	1363	1603	1742
 AURMO_00954:MinD-like ATPase involved in chromosome partitioning or flagellar assembly	6237	5600	6028	7539	3912	4490	3832	5550	11176	9139	4931	7000	2332	6381	6818	5897	5309	8238	6482	8590	3393	5163	5393	5806
 AURMO_00955:pyruvate carboxylase	14123	12085	14349	20085	10047	11345	10117	15393	29345	23166	17739	20201	5948	17451	19573	15229	18072	22072	16002	22339	9220	14016	14464	18553
 AURMO_00956:cellulose biosynthesis protein BcsQ	1818	1587	1655	2548	1039	1205	1199	1350	3139	2457	1354	1898	583	1801	2250	1516	1234	2486	1838	2431	979	1593	1495	1678
 AURMO_00957:MerR-like DNA binding protein	3328	3867	3377	4839	2523	2630	2364	3311	6761	4791	4485	4292	1103	3935	5167	3764	4304	4984	4775	5232	1813	3022	3430	3576
 AURMO_00958:MerR-like DNA binding protein	1664	1603	1771	2255	1099	1133	1134	1462	3262	2237	1214	2042	543	1792	1897	1560	1755	2524	1694	2528	906	1478	1608	2053
 AURMO_00959:type III secretion system (T3SS) inner membrane Yop/YscD-like protein	1046	1073	1113	1474	683	750	659	755	1885	1298	637	1043	299	900	1119	804	824	1296	953	1298	536	858	913	1000
 AURMO_00960:superfamily II DNA/RNA helicase	4718	4024	4865	6235	2918	3319	2461	3013	6521	4528	1833	2662	995	2532	4850	2103	915	4228	4958	4159	1535	3643	2055	1103
 AURMO_00961:LPXTG-motif cell wall-anchored protein	8323	7662	7397	10209	5647	6201	5631	8371	14970	13573	10388	11105	3406	11415	11775	10870	11497	12499	10789	14078	5226	7486	9499	11201
 AURMO_00962:deoxyribodipyrimidine photolyase-related protein	1040	963	976	1310	660	700	682	918	1839	1423	1190	1178	269	1212	1587	985	1246	1798	1354	1740	675	1134	1085	1306
 AURMO_00963:DME family drug/metabolite transporter	875	774	804	1115	510	612	537	652	1476	1238	915	883	325	1102	1313	953	1334	1596	1047	1551	618	932	1098	1496
 AURMO_00964:glyceraldehyde 3-phosphate dehydrogenase	2785	2480	2571	3858	2088	1928	1966	2880	4306	4061	3698	3677	911	3958	4194	2704	7041	4403	3938	3509	2088	2861	3147	8506
 AURMO_00965:3-oxoacyl-[acyl-carrier protein] reductase	1245	1103	1162	1587	771	830	793	1118	2166	1865	1401	1322	448	1479	1988	1227	1879	1872	1662	1938	768	1400	1341	1933
 AURMO_00966:drug/metabolite transporter (DMT)-like permease	456	434	461	597	285	301	317	408	908	705	463	506	145	529	900	464	488	686	549	689	262	614	434	439
 AURMO_00967:hypothetical protein	156	167	152	184	110	112	108	180	312	256	145	177	68	302	230	219	293	322	151	295	167	188	262	271
 AURMO_00968:threonine/homoserine/homoserine lactone efflux protein	582	598	550	795	381	463	425	612	1190	846	783	739	232	745	944	722	994	886	797	1081	374	607	753	798
 AURMO_00969:uncharacterized protein (UPF0303 family)	1221	1127	1118	1569	774	879	901	1137	2427	1741	1132	1375	386	1524	1520	1334	1549	1840	1399	1935	668	1015	1166	1362
 AURMO_00970:enamine deaminase RidA (YjgF/YER057c/UK114 family)	1103	920	975	1378	667	827	696	1016	2222	1493	1105	1369	366	1063	1304	989	1051	1462	1128	1537	442	835	868	871
 AURMO_00971:carbonic anhydrase	57916	57186	46588	78512	32275	36751	28381	43143	81207	68599	46273	45595	14161	40898	56757	37001	23779	46135	59580	51853	14087	34281	30532	21561
 AURMO_00972:MFS transporter	2086	1722	1694	2558	1235	1275	1410	1996	3136	2447	3292	1903	718	1920	3126	1710	2044	2375	2753	2134	1036	2033	1505	2159
 AURMO_00973:hypothetical protein	7428	6219	6407	8779	4592	4877	4344	6942	12222	9213	10161	8496	2776	7371	9498	6800	8974	8625	8413	8468	3612	6774	5889	8449
 AURMO_00974:hypothetical protein	144	157	170	157	77	114	91	146	277	165	81	163	42	183	177	134	204	193	163	241	94	150	200	193
 AURMO_00975:transmembrane secretion effector	480	450	447	663	295	308	294	382	840	585	375	516	145	482	869	391	429	672	500	619	288	677	466	459
 AURMO_00977:uncharacterized membrane protein	295	284	206	282	146	174	193	202	440	333	254	243	65	266	399	204	267	363	256	324	136	280	243	254
 AURMO_00978:ADP-ribose pyrophosphatase YjhB (NUDIX family)	525	485	532	723	357	391	345	471	1152	876	520	642	185	731	775	625	999	1060	587	1137	424	555	761	807
 AURMO_00979:GTP-binding protein	1523	1384	1681	2227	1046	1282	1013	1564	3305	2311	1243	1984	474	1497	2014	1268	1368	2182	1529	2305	778	1723	1202	1529
 AURMO_00980:cytidylate kinase	646	595	674	828	438	486	460	615	1408	1008	647	983	263	754	851	680	836	977	681	1081	383	650	685	783
 AURMO_00981:prephenate dehydrogenase	1325	1181	1553	1983	940	1100	929	1306	2948	2046	1178	1630	443	1577	1944	1472	1576	2091	1530	2232	789	1360	1404	1555
 AURMO_00982:ribosomal large subunit pseudouridine synthase B 	257	227	274	339	165	202	164	252	600	417	263	389	96	304	470	296	309	386	264	439	155	338	255	349
 AURMO_00983:segregation and condensation protein B	392	424	413	543	275	340	290	453	910	680	374	595	166	448	597	437	478	685	419	748	250	474	401	538
 AURMO_00984:condensin subunit ScpA 	432	352	469	561	242	324	266	337	897	650	320	513	138	481	687	441	433	617	441	588	218	534	376	437
 AURMO_00985:chromosome partitioning protein	3225	2816	2827	4126	1981	2162	2006	2798	5448	4194	2758	3538	1074	3455	3815	2797	2858	4144	3507	4032	1764	2637	2582	2938
 AURMO_00986:integrase/recombinase XerD	90	88	106	121	71	79	74	115	203	190	122	176	40	102	265	126	181	192	92	205	71	250	102	123
 AURMO_00987:ADP-ribose pyrophosphatase	736	723	725	926	560	563	526	886	1685	1222	793	1170	320	901	1119	984	1089	1060	844	1268	391	760	693	752
 AURMO_00988:CTP synthase 	9640	9132	9499	13219	7167	7990	7141	12367	21804	15816	9735	14606	3868	13697	13790	12715	13276	14219	12037	16316	5781	8813	9036	10539
 AURMO_00989:DNA replication and repair protein RecN 	822	695	914	1176	496	588	544	691	1760	1252	760	1093	271	983	1292	871	1157	1551	889	1389	554	1062	989	1287
 AURMO_00990:NAD+ kinase	2715	2242	2831	3648	1699	1808	1670	2306	4949	3974	2246	2926	937	2937	3597	2488	3015	4115	2991	4000	1539	2509	2503	3207
 AURMO_00991:23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase	660	565	696	880	396	421	436	510	1313	935	493	802	192	662	923	574	613	976	633	960	331	653	582	694
 AURMO_00992:hypothetical protein	17	20	19	19	9	13	10	17	24	45	6	16	8	23	29	7	18	35	14	15	15	28	13	27
